Kwh,name,datetime,temp,feelslike,dew,humidity,precip,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon
0.0,"Kozani, Greece",2022-01-01 00:00:00,6.0,4.4,2.0,75.51,0.0,0.0,0.0,19.8,7.6,240.0,1023.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 01:00:00,6.0,5.0,2.0,75.51,0.0,0.0,0.0,19.8,5.4,298.1,1023.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 02:00:00,4.9,3.2,2.0,81.61,0.0,,0.0,20.5,7.6,301.0,1022.4,40.9,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 03:00:00,4.0,4.0,1.0,80.8,0.0,,0.0,20.5,3.6,294.8,1022.0,38.0,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 04:00:00,3.0,1.6,2.0,93.14,0.0,,0.0,19.8,5.4,292.3,1021.0,41.7,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 05:00:00,3.0,3.0,2.0,93.11,0.0,,0.0,19.6,3.6,296.0,1021.0,39.6,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 06:00:00,4.0,1.2,2.0,86.8,0.0,,0.0,20.9,11.2,360.0,1021.0,44.7,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 07:00:00,6.0,3.6,2.0,75.51,0.0,0.0,0.0,22.3,11.2,340.0,1021.0,63.9,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0305,"Kozani, Greece",2022-01-01 08:00:00,5.0,1.8,2.0,80.95,0.0,0.0,0.0,22.3,14.7,340.0,1021.0,49.9,10.0,6.0,0.0,0.0,Partially cloudy,partly-cloudy-day
0.0991,"Kozani, Greece",2022-01-01 09:00:00,6.0,3.6,3.0,81.08,0.0,0.0,0.0,23.0,11.2,290.0,1021.0,50.0,10.0,23.0,0.1,0.0,Partially cloudy,partly-cloudy-day
0.395,"Kozani, Greece",2022-01-01 10:00:00,7.0,4.2,3.0,75.68,0.0,0.0,0.0,24.1,14.8,290.0,1021.0,50.0,10.0,140.0,0.5,1.0,Partially cloudy,partly-cloudy-day
0.4702,"Kozani, Greece",2022-01-01 11:00:00,11.0,11.0,3.0,57.81,0.0,0.0,0.0,30.3,13.0,310.0,1021.0,49.9,10.0,356.0,1.3,4.0,Partially cloudy,partly-cloudy-day
0.4801,"Kozani, Greece",2022-01-01 12:00:00,14.0,14.0,3.0,47.46,0.0,0.0,0.0,25.6,0.0,0.0,1021.0,50.0,10.0,326.0,1.2,3.0,Partially cloudy,partly-cloudy-day
0.4263,"Kozani, Greece",2022-01-01 13:00:00,14.0,14.0,3.0,47.46,0.0,0.0,0.0,27.4,0.0,0.0,1021.0,50.0,10.0,494.0,1.8,5.0,Partially cloudy,partly-cloudy-day
0.2758,"Kozani, Greece",2022-01-01 14:00:00,15.0,15.0,1.0,38.59,0.0,0.0,0.0,30.3,9.4,20.0,1020.0,25.7,10.0,445.0,1.6,4.0,Partially cloudy,partly-cloudy-day
0.1806,"Kozani, Greece",2022-01-01 15:00:00,16.0,16.0,1.0,36.18,0.0,0.0,0.0,28.8,9.4,360.0,1020.0,4.8,,345.0,1.2,3.0,Clear,clear-day
0.0665,"Kozani, Greece",2022-01-01 16:00:00,15.0,15.0,4.0,47.74,0.0,0.0,0.0,28.1,3.6,343.3,1020.0,0.0,,202.0,0.7,2.0,Clear,clear-day
0.0,"Kozani, Greece",2022-01-01 17:00:00,14.0,14.0,2.0,44.21,0.0,0.0,0.0,27.9,3.6,360.0,1021.0,0.0,,31.0,0.1,0.0,Clear,clear-day
0.0,"Kozani, Greece",2022-01-01 18:00:00,13.0,13.0,0.0,40.85,0.0,0.0,0.0,29.2,14.8,10.0,1021.0,0.0,,9.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 19:00:00,12.0,12.0,1.0,46.89,0.0,0.0,0.0,29.5,14.8,330.0,1021.0,0.4,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 20:00:00,10.0,8.7,1.0,53.57,0.0,0.0,0.0,29.9,9.4,320.0,1022.0,0.0,,0.0,0.0,0.0,Clear,clear-night
